family	host	host.name
Dunaliella	Algae	Eukaryotic Viruses
Duwamo	Environment	Eukaryotic Viruses
Egaro	Environment	Eukaryotic Viruses
Endornaviridae	Fungi&Plants	Eukaryotic Viruses
Ethiopian	Plants	Eukaryotic Viruses
Euphorbia	Plants	Eukaryotic Viruses
Faba	Plants	Eukaryotic Viruses
Filoviridae	Animals	Eukaryotic Viruses
Fimoviridae	Plants	Eukaryotic Viruses
Fisavirus	Animals	Eukaryotic Viruses
flavivirus	Flaviviridae	Eukaryotic Viruses
Fort	Animals	Eukaryotic Viruses
Fusarium	Fungi&Plants	Eukaryotic Viruses
Fusariviridae	Fungi	Eukaryotic Viruses
Gamboa	Animals	Eukaryotic Viruses
Gammaflexiviridae	Fungi	Eukaryotic Viruses
Gastropod	Animals	Eukaryotic Viruses
Geminiviridae	Plants	Eukaryotic Viruses
gemycircularvirus	Genomoviridae	Eukaryotic Viruses
Genomoviridae	Animals	Eukaryotic Viruses
Gentian	Plants	Eukaryotic Viruses
Gorilla	Animals	Eukaryotic Viruses
Gossypium	Plants	Eukaryotic Viruses
Goutanap	Animals	Eukaryotic Viruses
Grapevine	Plants	Eukaryotic Viruses
Groundnut	Plants	Eukaryotic Viruses
Guar	Plants	Eukaryotic Viruses
Halastavi	Animals	Eukaryotic Viruses
Hantaviridae	Animals	Eukaryotic Viruses
Hepadnaviridae	Animals	Eukaryotic Viruses
Hepeviridae	Animals	Eukaryotic Viruses
Hibiscus	Plants	Eukaryotic Viruses
Higrevirus	Plants	Eukaryotic Viruses
Hollyhock	Plants	Eukaryotic Viruses
Hubei	Animals	Eukaryotic Viruses
Human	Animals	Eukaryotic Viruses
Husa-like	Animals	Eukaryotic Viruses
Hypoviridae	Fungi	Eukaryotic Viruses
Hytrosaviridae	Animals	Eukaryotic Viruses
Idaeovirus	Plants	Eukaryotic Viruses
Iflaviridae	Animals	Eukaryotic Viruses
Imjin	Animals	Eukaryotic Viruses
Iridoviridae	Invertebrate	Invertebrate DNA Viruses
Jingmen	Animals	Eukaryotic Viruses
Kaumoebavirus	Protozoa	Eukaryotic Viruses
Kelp	Animals	Eukaryotic Viruses
Kilifi	Animals	Eukaryotic Viruses
Labyrnavirus	Algae	Eukaryotic Viruses
Lake	Environment	Eukaryotic Viruses
Lavidaviridae	Protozoa	Eukaryotic Viruses
Lemur	Animals	Eukaryotic Viruses
Leptopilina	Animals	Eukaryotic Viruses
Leshenault	Eukaryotes	Eukaryotic Viruses
Livupivirus	Animals	Eukaryotic Viruses
Llama	Animals	Eukaryotic Viruses
Lodeiro	Animals	Eukaryotic Viruses
Lonestar	Animals	Eukaryotic Viruses
Lucerne	Plants	Eukaryotic Viruses
Luteoviridae	Plants	Eukaryotic Viruses
Magnaporthe	Fungi	Eukaryotic Viruses
Malacoherpesviridae	Animals	Eukaryotic Viruses
Malvastrum	Plants	Eukaryotic Viruses
Marine	Environment	Eukaryotic Viruses
Marnaviridae	Algae	Eukaryotic Viruses
Marseilleviridae	Animals&Protozoa	Eukaryotic Viruses
McMurdo	Algae	Eukaryotic Viruses
Megabirnaviridae	Fungi	Eukaryotic Viruses
Melon	Plants	Eukaryotic Viruses
Mesoniviridae	Animals	Eukaryotic Viruses
Mesta	Plants	Eukaryotic Viruses
Micromonas	Algae	Eukaryotic Viruses
Milk	Plants	Eukaryotic Viruses
Mimosa	Plants	Eukaryotic Viruses
Mollivirus	Protozoa	Eukaryotic Viruses
Mymonaviridae	Fungi	Eukaryotic Viruses
Nairoviridae	Animals	Eukaryotic Viruses
Nanoviridae	Plants	Eukaryotic Viruses
narna-like	Animals	Eukaryotic Viruses
Narnaviridae	Fungi&Protozoa	Eukaryotic Viruses
Negevirus	Animals	Eukaryotic Viruses
Nepavirus	Environment	Eukaryotic Viruses
Nesidiocoris	Animals	Eukaryotic Viruses
New	Plants	Eukaryotic Viruses
Nimaviridae	Animals	Eukaryotic Viruses
Nodaviridae	Animals	Eukaryotic Viruses
Nora	Animals	Eukaryotic Viruses
Nudiviridae	Animals	Eukaryotic Viruses
Nyamiviridae	Animals	Eukaryotic Viruses
Nylanderia	Animals	Eukaryotic Viruses
Okra	Plants	Eukaryotic Viruses
Olive	Plants	Eukaryotic Viruses
Ophioviridae	Plants	Eukaryotic Viruses
Orthomyxoviridae	Animals	Eukaryotic Viruses
Ostreococcus	Algae	Eukaryotic Viruses
Ourmiavirus	Plants	Eukaryotic Viruses
Oyster	Fungi	Eukaryotic Viruses
Pacmanvirus	Protozoa	Eukaryotic Viruses
Pandoravirus	Protozoa	Eukaryotic Viruses
Papanivirus	Plants	Eukaryotic Viruses
Papaya	Plants	Eukaryotic Viruses
Paramyxoviridae	Animals	Eukaryotic Viruses
Parthenium	Plants	Eukaryotic Viruses
Partitiviridae	Fungi&Plants	Eukaryotic Viruses
Pea	Plants	Eukaryotic Viruses
Peanut	Plants	Eukaryotic Viruses
Pedilanthus	Plants	Eukaryotic Viruses
Penicillium	Fungi	Eukaryotic Viruses
Permutotetraviridae	Animals	Eukaryotic Viruses
Persimmon	Plants	Eukaryotic Viruses
Phaeocystis	Algae	Eukaryotic Viruses
Phenuiviridae	Animals	Eukaryotic Viruses
Phomopsis	Fungi	Eukaryotic Viruses
Phytophthora	Fungi	Eukaryotic Viruses
Picorna-like	Animals	Eukaryotic Viruses
Picornavirales	Animals	Eukaryotic Viruses
Pig	Environment	Eukaryotic Viruses
Pithovirus	Protozoa	Eukaryotic Viruses
Planaria	Animals	Eukaryotic Viruses
Point-Douro	Eukaryotes	Eukaryotic Viruses
Polemovirus	Plants	Eukaryotic Viruses
Polydnaviridae	Animals	Eukaryotic Viruses
Posavirus	Animals	Eukaryotic Viruses
PoSCV	Environment	Eukaryotic Viruses
Potyviridae	Plants	Eukaryotic Viruses
Quadriviridae	Fungi	Eukaryotic Viruses
Reoviridae	Animals	Eukaryotic Viruses
Rhabdoviridae	Animals	Eukaryotic Viruses
Rhizoctonia	Fungi&Plants	Eukaryotic Viruses
Rice	Plants	Eukaryotic Viruses
Riptortus	Animals	Eukaryotic Viruses
Roniviridae	Animals	Eukaryotic Viruses
Saccharomyces	Fungi	Eukaryotic Viruses
Salmovirus	Animals	Eukaryotic Viruses
San	Animals	Eukaryotic Viruses
Sanxia	Animals	Eukaryotic Viruses
Satellites	Protozoa	Eukaryotic Viruses
Sclerophthora	Fungi	Eukaryotic Viruses
Sclerotinia	Fungi&Plants	Eukaryotic Viruses
Sclerotium	Fungi	Eukaryotic Viruses
Sea	Animals	Eukaryotic Viruses
Sewage-associated	Environment	Eukaryotic Viruses
Shahe	Animals	Eukaryotic Viruses
Shayang	Animals	Eukaryotic Viruses
Sheep	Animals	Eukaryotic Viruses
Shuangao	Animals	Eukaryotic Viruses
Sida	Plants	Eukaryotic Viruses
Sinaivirus	Animals	Eukaryotic Viruses
Small	Plants	Eukaryotic Viruses
Sobemovirus	Plants	Eukaryotic Viruses
Solanum	Plants	Eukaryotic Viruses
Solenopsis	Animals	Eukaryotic Viruses
Spissistilus	Animals	Eukaryotic Viruses
Strawberry	Plants	Eukaryotic Viruses
Subterranean	Plants	Eukaryotic Viruses
Suffolk	Animals	Eukaryotic Viruses
Sunflower	Plants	Eukaryotic Viruses
Sunviridae	Animals	Eukaryotic Viruses
Swagivirus	Animals	Eukaryotic Viruses
Sweet	Plants	Eukaryotic Viruses
Synedrella	Plants	Eukaryotic Viruses
Tacheng	Animals	Eukaryotic Viruses
Tanay	Animals	Eukaryotic Viruses
Temperate	Plants	Eukaryotic Viruses
Thika	Animals	Eukaryotic Viruses
Tobacco	Plants	Eukaryotic Viruses
Togaviridae	Animals	Eukaryotic Viruses
Tolecusatellitidae	Plants	Eukaryotic Viruses
Tomato	Plants	Eukaryotic Viruses
Tongilchon	Animals	Eukaryotic Viruses
Torulaspora	Fungi	Eukaryotic Viruses
Tospoviridae	Animals	Eukaryotic Viruses
Totiviridae	Animals	Eukaryotic Viruses
Trichoderma	Fungi	Eukaryotic Viruses
Trichomonas	Protozoa	Eukaryotic Viruses
Trifolium-associated	Plants	Eukaryotic Viruses
Turkey	Environment	Eukaryotic Viruses
Turnip	Plants	Eukaryotic Viruses
Tymoviridae	Animals	Eukaryotic Viruses
ubei	Animals	Eukaryotic Viruses
unidentified	Human	Eukaryotic Viruses
Ustilaginoidea	Fungi	Eukaryotic Viruses
Velvet	Plants	Eukaryotic Viruses
Verbesina	Plants	Eukaryotic Viruses
Vernonia	Plants	Eukaryotic Viruses
Virtovirus	Plants	Eukaryotic Viruses
virus	Flaviviridae	Eukaryotic Viruses
Wabat	Animals	Eukaryotic Viruses
Wenling	Animals	Eukaryotic Viruses
Wenzhou	Animals	Eukaryotic Viruses
Wilkie	Eukaryotes	Eukaryotic Viruses
Wolkberg	Animals	Eukaryotic Viruses
Wuchan	Animals	Eukaryotic Viruses
Wuchang	Animals	Eukaryotic Viruses
Wuhan	Animals	Eukaryotic Viruses
Xingshan	Animals	Eukaryotic Viruses
Xinzhou	Animals	Eukaryotic Viruses
Yellowstone	Environment	Eukaryotic Viruses
Zhejiang	Animals	Eukaryotic Viruses
Chrysoviridae	Fungi	Fungal RNA Viruses
Baculoviridae	Animals	Invertebrate DNA Viruses
Ascoviridae	Invertebrate DNA Viruses	Invertebrate DNA Viruses
Asfarviridae	Invertebrate DNA Viruses	Invertebrate DNA Viruses
Metaviridae	Invertebrate DNA Viruses	Invertebrate RNA Viruses
Virgaviridae	Plants	Plant RNA Viruses
Betaflexiviridae	Plants	Plant RNA Viruses
Closteroviridae	Plants	Plant RNA Viruses
Secoviridae	Plants	Plant RNA Viruses
Tombusviridae	Plants	Plant RNA Viruses
Mimiviridae	Protozoa	Protozoa DNA Viruses
Cystoviridae	Bacteria	RNA Bacteriophages
Leviviridae	Bacteria	RNA Bacteriophages
